Date,Hotel_ID,ADR,Occupancy Rate,RevPAR,Available Rooms,Booked Rooms,Cancelations,No Shows,Deposits,Customer Type,Stay Length,Total Charges,Market Segment,Booking Channel,Special Requests,Meal Plan,Check-in Day of Week,Advance Booking Days,Revenue from Extras
2022-02-26,228,211.24,0.71,149.98,134,95,6,1,4557.61,Group,12,2534.88,Online,Phone,4,Breakfast,Tue,58,28.18
2022-02-27,153,153.24,0.9,137.92,172,155,7,1,4214.25,Leisure,4,612.96,Online,Website,2,None,Wed,19,36.59
2022-02-28,489,86.02,0.86,73.98,185,159,2,3,2645.44,Business,2,172.04,Online,Phone,4,Breakfast,Fri,16,110.3
2022-03-01,138,120.73,0.74,89.34,160,118,1,1,4213.17,Leisure,2,241.46,Agent,Website,3,Breakfast,Mon,17,56.9
2022-03-02,344,136.92,0.82,112.27,73,60,1,2,840.33,Business,1,136.92,Agent,Website,0,Breakfast,Thu,29,76.41
2022-03-03,373,140.89,0.75,105.67,70,52,5,0,1644.02,Group,9,1268.01,Online,Phone,1,None,Mon,45,157.11
2022-03-04,435,139.86,0.91,127.27,119,108,9,2,4400.9,Leisure,12,1678.32,Direct,Website,1,Half-board,Fri,12,111.2
2022-03-05,488,144.51,0.74,106.94,57,42,2,3,686.25,Leisure,4,578.04,Direct,Website,3,Breakfast,Sat,10,175.45
2022-03-06,205,160.67,0.76,122.11,86,65,1,1,2291.24,Business,2,321.34,Agent,Website,3,Half-board,Sat,17,137.61
2022-03-07,142,89.57,0.63,56.43,161,101,9,0,4372.11,Leisure,6,537.42,Direct,Phone,1,None,Tue,53,30.76
2022-03-08,131,137.9,0.8,110.32,187,150,1,1,2506.35,Business,11,1516.9,Direct,Agent,1,Half-board,Sun,54,19.91
2022-03-09,476,225.91,0.65,146.84,75,49,4,2,880.79,Business,1,225.91,Online,Agent,4,Breakfast,Sun,34,128.66
2022-03-10,357,130.77,0.79,103.31,83,66,0,1,2566.01,Leisure,3,392.31,Direct,Phone,1,None,Sat,40,107.11
2022-03-11,421,127.81,0.58,74.13,114,66,3,2,3794.97,Leisure,2,255.62,Online,Agent,0,Breakfast,Sat,24,146.86
2022-03-12,157,203.91,0.58,118.27,133,77,9,0,1923.76,Business,13,2650.83,Online,Phone,4,Half-board,Sun,27,110.91
2022-03-13,391,22.04,0.71,15.65,52,37,6,4,4579.39,Leisure,5,110.2,Online,Agent,2,None,Sat,34,197.53
2022-03-14,458,209.07,0.71,148.44,66,47,5,4,4733.58,Business,5,1045.35,Online,Phone,1,Half-board,Tue,58,196.33
2022-03-15,219,118.4,0.63,74.59,176,111,5,0,1254.95,Group,13,1539.2,Direct,Phone,3,Breakfast,Thu,14,54.43
2022-03-16,367,158.2,0.57,90.17,137,78,4,1,920.24,Business,2,316.4,Online,Phone,0,None,Tue,8,158.37
2022-03-17,182,154.82,0.52,80.51,111,58,7,4,1847.11,Group,1,154.82,Direct,Phone,4,Breakfast,Sat,52,153.22
2022-03-18,191,197.12,0.51,100.53,108,55,5,2,2610.69,Business,1,197.12,Direct,Website,0,Half-board,Sun,44,168.09
2022-03-19,484,136.62,0.64,87.44,164,105,1,4,1206.56,Group,3,409.86,Direct,Website,2,Half-board,Fri,18,84.07
2022-03-20,498,116.1,0.73,84.75,75,55,2,2,1587.06,Business,12,1393.2,Online,Phone,4,Half-board,Fri,27,185.56
2022-03-21,199,214.89,0.86,184.81,172,148,2,0,4699.84,Group,5,1074.45,Agent,Agent,1,None,Mon,26,75.36
2022-03-22,153,31.79,0.74,23.52,195,144,1,4,3716.96,Business,9,286.11,Online,Phone,2,Half-board,Fri,50,142.66
2022-03-23,496,151.02,0.95,143.47,90,86,1,0,3190.76,Group,2,302.04,Direct,Website,3,Breakfast,Wed,23,120.48
2022-03-24,221,82.6,0.52,42.95,110,57,1,3,3685.8,Leisure,7,578.2,Online,Agent,0,Half-board,Thu,7,72.79
2022-03-25,184,111.92,0.59,66.03,131,77,9,0,512.27,Group,4,447.68,Direct,Agent,0,Half-board,Sun,10,45.58
2022-03-26,303,250.56,0.67,167.88,161,108,4,4,1154.85,Group,3,751.68,Agent,Website,0,None,Tue,2,137.07
2022-03-27,424,147.77,0.79,116.74,74,58,8,2,3612.88,Group,3,443.31,Online,Phone,4,Breakfast,Thu,21,180.47
2022-03-28,362,159.75,0.93,148.57,83,77,9,0,3717.36,Business,9,1437.75,Agent,Website,0,None,Wed,12,79.7
2022-03-29,147,60.92,0.68,41.43,59,40,2,4,4338.38,Leisure,8,487.36,Agent,Phone,0,None,Mon,38,19.29
2022-03-30,227,113.55,0.63,71.54,87,55,5,1,3134.98,Leisure,7,794.85,Agent,Website,1,None,Thu,11,56.12
2022-03-31,231,159.83,0.53,84.71,152,81,7,2,3007.63,Business,10,1598.3,Online,Phone,1,Half-board,Fri,22,80.13
2022-04-01,456,167.74,0.91,152.64,189,172,1,1,2289.37,Group,10,1677.4,Direct,Phone,1,Half-board,Mon,39,81.41
2022-04-02,280,180.84,0.69,124.78,66,46,1,1,4174.5,Business,14,2531.76,Agent,Phone,1,Half-board,Sat,13,127.54
2022-04-03,434,150.43,0.79,118.84,133,105,7,3,4334.1,Group,9,1353.87,Online,Agent,1,None,Sat,57,23.03
2022-04-04,243,176.35,0.99,174.59,111,110,0,0,2532.17,Leisure,9,1587.15,Direct,Agent,2,Breakfast,Sun,33,22.52
2022-04-05,248,172.69,0.5,86.34,172,86,1,1,2190.17,Leisure,9,1554.21,Agent,Website,2,Half-board,Mon,41,34.71
2022-04-06,327,58.51,0.57,33.35,171,97,6,2,726.82,Business,7,409.57,Agent,Website,0,Breakfast,Tue,24,33.15
2022-04-07,379,151.85,0.89,135.15,162,144,8,1,4064.34,Business,1,151.85,Direct,Agent,1,None,Wed,53,35.15
2022-04-08,307,188.4,0.9,169.56,59,53,6,3,3528.76,Business,7,1318.8,Direct,Agent,0,Half-board,Thu,59,1.05
2022-04-09,497,179.49,0.88,157.95,92,81,7,4,2476.41,Business,10,1794.9,Agent,Phone,2,None,Sun,55,54.84
2022-04-10,473,131.81,0.77,101.49,76,59,7,2,2771.08,Group,10,1318.1,Direct,Website,0,Half-board,Mon,23,113.14
2022-04-11,441,109.72,0.99,108.62,169,167,2,2,4532.24,Business,9,987.48,Agent,Phone,3,None,Wed,23,198.44
2022-04-12,148,94.08,0.7,65.86,168,118,5,4,4449.53,Group,2,188.16,Online,Website,4,Breakfast,Sat,28,82.21
2022-04-13,405,143.45,0.8,114.76,92,74,4,3,1305.88,Business,3,430.35,Agent,Phone,2,Breakfast,Sat,14,169.21
2022-04-14,169,206.65,0.53,109.52,112,59,2,3,4320.54,Group,6,1239.9,Direct,Agent,2,Half-board,Tue,29,41.89
2022-04-15,269,52.41,0.7,36.69,61,43,1,0,2793.83,Group,2,104.82,Agent,Agent,3,Breakfast,Mon,43,187.95
2022-04-16,263,117.01,0.86,100.63,175,150,9,2,977.53,Business,10,1170.1,Agent,Phone,4,Breakfast,Mon,39,3.4
2022-04-17,195,93.01,0.62,57.67,80,50,6,0,1901.68,Business,14,1302.14,Direct,Agent,1,Half-board,Tue,1,5.43
2022-04-18,297,189.25,0.97,183.57,136,132,3,1,3591.26,Leisure,12,2271.0,Online,Phone,4,None,Sun,28,72.41
2022-04-19,194,122.28,0.84,102.72,79,66,4,0,4520.45,Business,2,244.56,Online,Phone,3,Half-board,Sun,53,175.06
2022-04-20,356,126.47,0.64,80.94,82,52,5,0,987.57,Business,9,1138.23,Agent,Website,4,Breakfast,Fri,48,113.38
2022-04-21,469,139.15,0.88,122.45,90,79,6,4,3243.44,Group,6,834.9,Direct,Agent,3,Breakfast,Thu,50,7.03
2022-04-22,278,172.27,0.54,93.03,168,91,3,0,3551.58,Group,9,1550.43,Agent,Website,3,None,Mon,54,168.07
2022-04-23,392,130.38,0.99,129.08,192,190,7,1,1742.8,Business,9,1173.42,Online,Agent,1,Breakfast,Sun,30,32.44
2022-04-24,404,-2.31,0.52,-1.2,52,27,8,0,3904.88,Group,13,-30.03,Direct,Website,1,Half-board,Thu,15,75.2
2022-04-25,449,177.17,0.97,171.85,83,81,4,3,964.98,Leisure,2,354.34,Agent,Phone,4,Half-board,Fri,31,17.08
2022-04-26,487,171.95,0.63,108.33,92,58,1,0,1578.55,Group,8,1375.6,Online,Website,1,Breakfast,Mon,28,186.24
2022-04-27,198,139.02,0.88,122.34,86,76,9,4,502.21,Group,6,834.12,Agent,Phone,2,Half-board,Sun,8,1.25
2022-04-28,142,95.8,0.5,47.9,178,89,4,4,2762.32,Leisure,7,670.6,Agent,Phone,4,None,Mon,36,175.69
2022-04-29,468,167.59,0.63,105.58,100,63,7,4,1685.46,Leisure,12,2011.08,Agent,Phone,0,Half-board,Tue,44,33.67
2022-04-30,301,168.96,0.87,147.0,88,77,3,0,851.3,Leisure,9,1520.64,Online,Website,4,None,Fri,19,40.45
2022-05-01,483,126.5,0.77,97.4,105,81,2,1,4463.97,Business,9,1138.5,Agent,Phone,2,Breakfast,Fri,15,44.14
2022-05-02,100,139.16,0.56,77.93,62,35,7,2,1393.99,Group,8,1113.28,Direct,Agent,0,Half-board,Sun,54,28.47
2022-05-03,494,103.49,0.7,72.44,175,122,4,4,3052.94,Leisure,6,620.94,Online,Website,4,Half-board,Sat,18,28.62
2022-05-04,470,141.07,0.69,97.34,65,45,4,0,1721.59,Business,13,1833.91,Agent,Agent,3,None,Sun,41,174.32
2022-05-05,143,72.48,0.78,56.53,76,59,8,2,3188.75,Leisure,3,217.44,Agent,Website,3,None,Mon,59,83.42
2022-05-06,483,170.87,0.83,141.82,66,55,0,3,3444.33,Leisure,5,854.35,Online,Phone,0,None,Sat,0,72.54
2022-05-07,123,102.78,0.92,94.56,132,121,7,3,3765.16,Leisure,9,925.02,Online,Website,0,Half-board,Wed,0,49.09
2022-05-08,287,161.91,0.75,121.43,181,136,7,4,1830.77,Leisure,14,2266.74,Agent,Phone,1,Breakfast,Mon,55,180.98
2022-05-09,230,79.7,0.7,55.79,108,76,8,4,712.65,Business,9,717.3,Agent,Website,4,Breakfast,Mon,49,117.0
2022-05-10,477,120.5,0.57,68.68,152,87,5,3,4357.72,Business,10,1205.0,Agent,Agent,2,None,Sun,1,69.05
2022-05-11,198,144.48,0.9,130.03,121,109,0,4,4861.82,Leisure,3,433.44,Online,Phone,0,Half-board,Sat,10,39.54
2022-05-12,162,66.97,0.86,57.59,107,92,0,3,4488.01,Leisure,9,602.73,Agent,Phone,0,None,Sat,30,182.58
2022-05-13,322,155.76,0.7,109.03,198,139,9,0,871.75,Leisure,12,1869.12,Online,Phone,1,None,Mon,10,40.96
2022-05-14,223,131.04,0.76,99.59,162,123,8,2,4033.11,Group,6,786.24,Online,Phone,4,Breakfast,Tue,35,13.07
2022-05-15,182,62.88,0.83,52.19,116,96,7,0,2687.02,Leisure,7,440.16,Online,Agent,1,Breakfast,Fri,2,126.11
2022-05-16,327,84.84,0.58,49.21,110,64,8,3,3344.55,Leisure,1,84.84,Agent,Phone,0,None,Sat,1,55.42
2022-05-17,248,180.26,0.51,91.93,60,31,2,0,3252.72,Group,6,1081.56,Direct,Agent,3,Half-board,Fri,9,35.58
2022-05-18,309,194.78,0.66,128.55,101,67,4,3,2907.64,Group,13,2532.14,Online,Phone,0,None,Fri,54,121.02
2022-05-19,150,143.4,0.8,114.72,148,118,6,0,3537.85,Leisure,7,1003.8,Direct,Agent,1,Half-board,Fri,42,91.27
2022-05-20,370,170.24,0.74,125.98,50,37,0,2,3273.45,Group,6,1021.44,Agent,Website,2,Half-board,Fri,48,31.41
2022-05-21,141,161.19,0.85,137.01,120,102,7,3,3095.78,Group,5,805.95,Direct,Phone,4,None,Fri,52,114.89
2022-05-22,158,166.48,0.91,151.5,63,57,8,4,1142.71,Group,7,1165.36,Online,Website,1,None,Sun,3,133.45
2022-05-23,293,214.3,0.74,158.58,75,56,5,4,4392.22,Business,14,3000.2,Online,Phone,2,None,Sat,46,138.76
2022-05-24,136,74.65,0.57,42.55,141,80,4,4,3890.73,Group,2,149.3,Agent,Agent,3,Half-board,Wed,43,50.43
2022-05-25,366,183.82,0.93,170.95,97,90,3,3,4839.66,Business,1,183.82,Agent,Phone,2,None,Tue,36,103.77
2022-05-26,186,130.9,0.79,103.41,119,94,9,4,4062.84,Business,9,1178.1,Direct,Website,2,Half-board,Fri,13,67.5
2022-05-27,143,138.79,0.87,120.75,155,135,5,1,3121.35,Business,10,1387.9,Direct,Agent,4,Half-board,Sat,35,185.33
2022-05-28,460,134.89,0.85,114.66,73,62,8,2,4627.25,Business,14,1888.46,Direct,Agent,4,Half-board,Sun,53,96.24
2022-05-29,111,131.24,0.98,128.62,74,73,3,1,3444.18,Business,6,787.44,Online,Website,2,Half-board,Mon,15,114.11
2022-05-30,358,88.69,0.65,57.65,71,46,7,3,1895.58,Group,1,88.69,Direct,Website,1,Breakfast,Sun,50,106.28
2022-05-31,407,159.17,0.85,135.29,63,54,6,3,1289.77,Group,3,477.51,Online,Agent,0,Half-board,Wed,46,199.6
2022-06-01,180,233.55,0.68,158.81,116,79,3,2,3219.39,Group,10,2335.5,Agent,Agent,0,None,Tue,9,179.19
2022-06-02,132,147.19,0.7,103.03,179,125,9,0,3812.78,Group,10,1471.9,Agent,Website,1,None,Wed,39,197.48
2022-06-03,282,149.93,0.62,92.96,108,67,1,2,4208.73,Group,14,2099.02,Direct,Phone,3,None,Wed,18,48.08
2022-06-04,228,115.64,0.67,77.48,102,68,5,1,1783.8,Group,11,1272.04,Online,Website,1,Half-board,Mon,2,96.47
2022-06-05,394,144.13,0.97,139.81,178,173,2,1,4559.0,Business,7,1008.91,Direct,Website,0,None,Thu,45,90.56
2022-06-06,375,173.31,0.65,112.65,176,114,6,1,3100.87,Group,4,693.24,Agent,Phone,4,Half-board,Wed,41,140.3
2022-06-07,274,131.49,0.62,81.52,64,40,8,1,3753.92,Group,9,1183.41,Agent,Phone,4,None,Fri,4,144.52
2022-06-08,142,127.31,0.79,100.57,150,118,1,0,4136.6,Leisure,9,1145.79,Online,Agent,4,Half-board,Wed,44,83.67
2022-06-09,471,170.16,0.63,107.2,185,117,9,3,4690.77,Business,12,2041.92,Agent,Phone,4,Breakfast,Tue,14,105.34
2022-06-10,284,104.1,0.74,77.03,98,73,9,3,1804.96,Leisure,6,624.6,Online,Website,4,Breakfast,Thu,15,93.13
2022-06-11,177,162.62,0.92,149.61,123,113,9,2,2266.1,Leisure,5,813.1,Online,Agent,2,Breakfast,Thu,44,153.12
2022-06-12,386,191.02,0.62,118.43,158,98,5,3,4549.85,Business,2,382.04,Agent,Website,3,Half-board,Sat,20,98.88
2022-06-13,380,218.0,0.71,154.78,99,70,7,3,4255.14,Business,10,2180.0,Online,Phone,4,Breakfast,Fri,25,135.61
2022-06-14,225,145.48,0.81,117.84,54,44,6,3,2296.11,Business,14,2036.72,Agent,Website,3,Breakfast,Sat,42,164.63
2022-06-15,358,218.38,0.77,168.15,66,51,4,0,2603.02,Business,5,1091.9,Agent,Phone,3,Breakfast,Wed,18,135.66
2022-06-16,103,201.72,0.99,199.7,194,192,3,0,3727.16,Leisure,11,2218.92,Online,Agent,2,None,Sun,22,72.83
2022-06-17,194,100.19,0.84,84.16,113,95,8,3,775.62,Leisure,13,1302.47,Online,Website,3,Half-board,Sat,20,95.69
2022-06-18,326,89.1,0.87,77.52,194,169,7,1,2152.93,Business,8,712.8,Direct,Phone,1,Half-board,Tue,43,93.25
2022-06-19,463,134.75,0.98,132.06,154,151,9,3,1428.04,Leisure,11,1482.25,Agent,Phone,0,None,Sun,53,191.85
2022-06-20,369,201.45,0.71,143.03,52,37,9,2,2834.58,Group,2,402.9,Online,Agent,4,Half-board,Sat,46,87.15
2022-06-21,468,146.39,0.68,99.55,82,56,4,4,3974.46,Business,8,1171.12,Online,Website,4,None,Sun,42,182.72
2022-06-22,396,119.97,0.52,62.38,120,62,7,2,1084.66,Group,9,1079.73,Agent,Phone,4,Half-board,Tue,50,181.93
2022-06-23,428,227.61,0.59,134.29,72,42,7,4,4940.31,Group,14,3186.54,Agent,Agent,2,Half-board,Sun,2,149.31
2022-06-24,119,164.35,0.62,101.9,171,106,4,0,2602.0,Group,7,1150.45,Direct,Website,0,None,Thu,7,40.41
2022-06-25,195,33.97,0.59,20.04,176,104,6,0,3978.58,Group,8,271.76,Direct,Website,4,Half-board,Thu,48,85.03
2022-06-26,428,165.86,0.88,145.96,54,48,2,3,2085.87,Group,11,1824.46,Agent,Phone,0,Half-board,Fri,18,129.01
2022-06-27,348,176.0,0.77,135.52,54,42,7,4,2696.62,Business,6,1056.0,Direct,Agent,1,None,Sat,13,51.36
2022-06-28,280,161.28,0.83,133.86,125,104,9,0,4841.89,Group,10,1612.8,Direct,Website,1,Half-board,Wed,1,32.08
2022-06-29,423,172.49,0.91,156.97,125,114,3,0,3606.18,Business,10,1724.9,Agent,Website,4,Breakfast,Mon,51,96.45
2022-06-30,417,146.64,0.62,90.92,126,78,0,3,615.44,Leisure,3,439.92,Agent,Website,4,None,Mon,52,119.97
2022-07-01,370,84.08,0.66,55.49,187,123,7,0,1543.92,Leisure,7,588.56,Online,Phone,1,Breakfast,Sat,32,129.47
2022-07-02,452,131.46,0.85,111.74,85,72,5,4,1666.67,Group,12,1577.52,Agent,Agent,1,Half-board,Sun,3,122.31
2022-07-03,360,102.72,0.7,71.9,184,129,7,2,4815.08,Leisure,11,1129.92,Direct,Phone,0,Breakfast,Sun,54,58.28
2022-07-04,337,103.36,0.51,52.71,81,41,0,0,3963.06,Business,8,826.88,Agent,Phone,1,Breakfast,Wed,36,69.64
2022-07-05,239,86.85,0.72,62.53,77,55,3,1,3553.84,Business,2,173.7,Online,Agent,4,Half-board,Mon,48,76.58
2022-07-06,186,172.62,0.95,163.99,60,57,1,0,813.43,Group,9,1553.58,Agent,Website,1,Half-board,Sun,48,40.91
2022-07-07,477,154.89,0.7,108.42,151,106,0,2,4117.17,Leisure,5,774.45,Agent,Phone,0,None,Sun,29,41.39
2022-07-08,209,127.59,0.67,85.49,129,86,8,3,1317.53,Group,12,1531.08,Direct,Phone,3,Half-board,Sun,3,91.71
2022-07-09,431,117.53,0.99,116.35,76,75,2,3,1169.51,Leisure,10,1175.3,Online,Phone,3,Breakfast,Thu,5,25.68
2022-07-10,284,148.83,0.82,122.04,119,98,4,2,4409.82,Group,1,148.83,Direct,Website,0,Half-board,Mon,27,21.99
2022-07-11,116,203.96,0.68,138.69,82,56,3,3,522.67,Leisure,4,815.84,Online,Agent,0,Half-board,Tue,10,101.1
2022-07-12,252,49.79,0.55,27.38,87,48,5,0,784.76,Business,9,448.11,Direct,Phone,4,Breakfast,Sat,52,9.53
2022-07-13,249,168.84,0.89,150.27,132,117,9,4,4637.33,Group,6,1013.04,Direct,Website,1,None,Fri,46,80.49
2022-07-14,210,122.71,0.85,104.3,127,108,3,0,1632.0,Group,10,1227.1,Direct,Agent,1,None,Fri,6,149.74
2022-07-15,125,55.77,0.96,53.54,116,111,4,4,3984.52,Leisure,9,501.93,Online,Agent,1,Breakfast,Sat,12,194.85
2022-07-16,477,52.71,0.61,32.15,178,109,3,1,3457.28,Group,14,737.94,Direct,Website,1,None,Sun,1,99.98
2022-07-17,474,104.36,0.56,58.44,114,64,3,2,1005.05,Leisure,10,1043.6,Online,Website,4,Breakfast,Sun,3,51.43
2022-07-18,217,160.98,0.86,138.44,187,161,7,2,4077.18,Group,1,160.98,Direct,Agent,1,None,Sat,8,125.59
2022-07-19,183,169.65,0.6,101.79,112,67,6,0,1433.26,Group,9,1526.85,Online,Website,4,Half-board,Sun,36,28.99
2022-07-20,261,103.05,0.59,60.8,53,31,4,3,3629.42,Group,4,412.2,Online,Phone,0,Half-board,Mon,11,186.1
2022-07-21,460,200.85,0.66,132.56,183,121,8,2,2213.84,Leisure,13,2611.05,Direct,Agent,0,Breakfast,Wed,17,151.01
